created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
1343103949000.0,72,99,Twitter's search results = accurate.pic.twitter.com/lf6FJSxo,"2,27620574246105E+017",318831260,Homophobes,318831260
1341620748000.0,4,22,Homophobe of the day: Jane Pitt (Brad Pitt's mom) http://www.huffingtonpost.com/2012/07/05/brad-pitt-mom-jane-anti-gay-romney-letter_n_1652569.html … (via @ThePandoraBoxx),"2,21399580623901E+017",318831260,Homophobes,318831260
1341556814000.0,6,16,"In case you missed it: @fakedansavage, co-founder of the @ItGetsBetter Project, interviewed @homophobes: http://slog.thestranger.com/slog/archives/2012/07/03/giving-the-homophobes-the-attention-theyre-looking-for …","2,21131424776982E+017",318831260,Homophobes,318831260
1338591952000.0,3,48,"""going against God's will."" http://www.courthousenews.com/2012/06/01/47019.htm …","2,08695890410619E+017",318831260,Homophobes,318831260
1338491236000.0,5,41, Kansas pastor Curtis Knapp wants the government to start killing gays.http://www.advocate.com/politics/religion/2012/05/30/latest-call-gay-holocaust-comes-kansas …,"2,08273456024924E+017",318831260,Homophobes,318831260
1338341302000.0,8,46,burning gay man alive http://unicornbooty.com/blog/2012/05/29/high-school-graduation-party-turns-into-attempt-at-burning-gay-man-alive/ …,"2,07644590302446E+017",318831260,Homophobes,318831260
1337707510000.0,6,42,we should put all gays in electrified pen to kill them off http://www.youtube.com/watch?v=d2n7vSPwhSU …,"2,04986272480104E+017",318831260,Homophobes,318831260
1336174178000.0,3,10,"gay marriage: « What is stopping them from refining marriage as between a person and a beast?"" —  http://thenewcivilrightsmovement.com/pastor-married-gays-dangerous-to-kids-one-step-away-from-person-and-beast-marriage/politics/2012/05/04/39049 …","1,98555010668306E+017",318831260,Homophobes,318831260
1335897373000.0,0,1,@Linn_Mar_Love You are an amazing person. http://www.towleroad.com/2012/05/gay-iowa-hs-student-acted-as-anonymous-twitter-angel-for-fellow-bullied-teens.html …,"1,97394007859528E+017",318831260,Homophobes,318831260
1335830181000.0,2,16,"Watch out, we got a badass over here:http://unicornbooty.com/blog/2012/04/30/bigot-fires-shotgun-at-gay-marriage-sign-video/ …","1,97112182788465E+017",318831260,Homophobes,318831260
1334952699000.0,2,13,"""If a straight man love gays, it probably means he's getting f***ed by them!""http://www.youtube.com/watch?v=LaaG9xyjd0c …","1,93431756714688E+017",318831260,Homophobes,318831260
1333410117000.0,5,34,In case you missed it: A Homophobe's Guide for Dealing with a Gay Child http://storify.com/homophobes/a-homophobe-s-guide-for-dealing-with-a-gay-child …,"1,86961697997722E+017",318831260,Homophobes,318831260
1333330797000.0,7,39,A Homophobe's Guide for Dealing with a Gay Child http://storify.com/homophobes/a-homophobe-s-guide-for-dealing-with-a-gay-child …,"1,86629008824349E+017",318831260,Homophobes,318831260
1333094945000.0,6,9,"Joey Mitchell (@basementatheist) reads through our ""100 Real Tweets from Homophobes Who Would Murder Their Gay Child""http://www.youtube.com/watch?v=VJc9Ab2MwJ4 …","1,8563977082583E+017",318831260,Homophobes,318831260
1332319237000.0,3,7,Why I Hate Gay People.  http://www.youtube.com/watch?v=S1fYJmMG07g …,"1,82386216543601E+017",318831260,Homophobes,318831260
1331369395000.0,1,3,"Stop making up your own rules! Do things the way God intended them to be, you silly gays! http://www.youtube.com/watch?v=aKsUB0gYkxI …","1,7840229184453E+017",318831260,Homophobes,318831260
